,rcod_persona,rcod_hogar,rmujer,r6,lnr6,rmu,rneduca,r3,redad,redadsq,rDpto,rpareja,reduca,rpobre,rmiembro,rgasto
0,0050070031101,00500700311,0,6433.583333333333,8.76928694557346,0,Univ.,1,56,3136,Amazonas,0,17.0,0,1,2794.5833333333335
1,0050070121101,00500701211,1,1062.0833333333333,6.967987667022215,0,secundaria,1,21,441,Amazonas,0,11.0,0,1,1098.0833333333333
2,0050070221101,00500702211,0,2224.5833333333335,7.707324911146286,0,Univ.,1,62,3844,Amazonas,1,16.0,0,3,1109.0
4,0050090981101,00500909811,0,801.5,6.686484972049608,0,secundaria,1,60,3600,Amazonas,1,11.0,0,4,642.7083333333334
5,0050091261101,00500912611,0,5580.083333333333,8.62695898955297,0,secundaria,1,57,3249,Amazonas,1,11.0,0,5,1588.9333333333334
6,0050191141101,00501911411,0,1255.1666666666667,7.135023644873296,0,primaria,1,40,1600,Amazonas,1,0.0,0,4,1022.9375
8,0050201021101,00502010211,0,3384.3333333333335,8.126912218633112,0,secundaria,1,65,4225,Amazonas,1,10.0,0,6,585.7361111111111
9,0050201521101,00502015211,0,1774.0833333333333,7.4810391365877384,0,primaria,1,63,3969,Amazonas,1,3.0,0,10,877.2333333333332
10,0050270061101,00502700611,0,1155.5,7.0522884297144355,0,secundaria,1,35,1225,Amazonas,1,11.0,1,4,281.5
11,0050270181101,00502701811,0,2793.0833333333335,7.934901401996079,0,secundaria,1,38,1444,Amazonas,1,8.0,0,4,621.7708333333334
12,0050270441101,00502704411,0,3058.25,8.025598135927027,0,tecnica,1,61,3721,Amazonas,1,14.0,0,5,928.1
13,0050270551101,00502705511,0,516.0833333333334,6.2462682511500605,0,secundaria,1,59,3481,Amazonas,1,11.0,0,5,373.34999999999997
14,0050270651101,00502706511,1,776.5,6.6547966425887415,0,primaria,1,34,1156,Amazonas,0,0.0,0,2,453.5833333333333
15,0050270781101,00502707811,1,388.5,5.962293169807702,0,primaria,1,56,3136,Amazonas,0,0.0,0,3,811.9166666666666
16,0050300051101,00503000511,0,368.9166666666667,5.9105707829441405,0,tecnica,1,50,2500,Amazonas,1,12.0,0,7,392.3571428571429
17,0050300121101,00503001211,0,690.5833333333334,6.537536651061043,0,primaria,1,68,4624,Amazonas,0,4.0,0,3,360.8611111111111
18,0050300301101,00503003011,0,1891.1666666666667,7.544949201562934,0,tecnica,1,43,1849,Amazonas,1,14.0,0,4,729.3125
19,0050300471101,00503004711,0,667.5833333333334,6.503664226427117,0,primaria,1,65,4225,Amazonas,1,5.0,0,2,663.4166666666666
21,0050350321101,00503503211,0,1226.75,7.112123674970013,0,secundaria,1,55,3025,Amazonas,1,11.0,0,2,876.6666666666666
24,0050350891101,00503508911,1,995.0833333333334,6.9028264857453845,0,secundaria,1,36,1296,Amazonas,0,11.0,0,3,538.3888888888889
25,0050351171101,00503511711,1,345.5,5.844992643207725,0,secundaria,1,39,1521,Amazonas,0,11.0,1,4,196.64583333333334
26,0050360141101,00503601411,0,2852.0833333333335,7.95580500036865,0,Univ.,1,48,2304,Amazonas,1,17.0,0,4,380.8541666666667
27,0050360321101,00503603211,0,1725.6666666666667,7.453368728233792,0,Univ.,1,53,2809,Amazonas,1,16.0,0,3,474.8611111111111
28,0050360521101,00503605211,1,1049.3333333333333,6.955910320869184,0,secundaria,1,42,1764,Amazonas,0,10.0,0,1,1170.0833333333333
30,0050360891101,00503608911,1,2496.75,7.822745165123244,0,Univ.,1,52,2704,Amazonas,0,16.0,0,2,799.5833333333334
31,0050361671101,00503616711,1,1346.3333333333333,7.205140126895303,0,secundaria,1,35,1225,Amazonas,0,11.0,0,4,689.7291666666666
32,0050370061101,00503700611,0,559.3333333333334,6.326745598359042,0,tecnica,1,69,4761,Amazonas,0,14.0,0,2,714.3333333333334
33,0050370171101,00503701711,0,1114.75,7.016385443507586,0,primaria,1,62,3844,Amazonas,1,5.0,0,2,638.1666666666666
34,0050370731101,00503707311,1,1403.5,7.246724395801937,0,Univ.,1,46,2116,Amazonas,1,17.0,0,3,2194.111111111111
